status,country
High,Afghanistan
High,Somalia
High,Syrian Arab Republic
High,"Yemen, Rep."
High,Armenia
High,Azerbaijan
Medium,Burkina Faso
Medium,Burundi
Medium,Cameroon
Medium,Central African Republic
Medium,Chad
Medium,"Congo, Dem. Rep."
Medium,Ethiopia
Medium,Haiti
Medium,Iraq
Medium,Libya
Medium,Mali
Medium,Mozambique
Medium,Myanmar
Medium,Niger
Medium,Nigeria
Medium,South Sudan
Fragile,"Congo, Rep."
Fragile,Eritrea
Fragile,Guinea-Bissau
Fragile,Kosovo
Fragile,Lebanon
Fragile,Papua New Guinea
Fragile,Sudan
Fragile,"Venezuela, RB"
Fragile,Zimbabwe
Fragile,Comoros
Fragile,Kiribati
Fragile,Marshall Islands
Fragile,"Micronesia, Fed. Sts."
Fragile,Solomon Islands
Fragile,Timor-Leste
Fragile,Tuvalu
